               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.033876,            0.038699,           0.0052685,             0.56219,             0.34644,             0.35627,             0.19891,            0.040956,              0.0428,            0.015408,            0.007492,            0.007492,            0.007492
                  78,            0.033161,             0.03991,           0.0051343,             0.54569,             0.30266,             0.33145,             0.18337,            0.041799,            0.043957,            0.013493,            0.007459,            0.007459,            0.007459
                  79,            0.033569,            0.039772,           0.0049574,             0.63006,             0.29589,             0.32647,             0.18102,            0.041311,            0.041699,            0.010776,            0.007426,            0.007426,            0.007426
                  80,            0.033176,            0.039068,             0.00498,             0.54569,             0.29232,             0.31494,             0.17641,            0.040679,             0.04045,             0.01329,            0.007393,            0.007393,            0.007393
                  81,            0.032968,            0.038208,           0.0053194,             0.33791,             0.35075,             0.33551,             0.18549,            0.041987,            0.042843,            0.014331,             0.00736,             0.00736,             0.00736
                  82,            0.033821,             0.03986,            0.004959,             0.49099,             0.33797,             0.34487,             0.19292,            0.041166,            0.041659,            0.013939,            0.007327,            0.007327,            0.007327
                  83,             0.03289,            0.038325,           0.0050778,             0.54556,              0.3394,              0.3481,             0.20186,            0.041155,            0.042034,            0.014336,            0.007294,            0.007294,            0.007294
                  84,            0.032853,            0.040396,           0.0047274,             0.43655,             0.34559,             0.37397,             0.22122,            0.040033,            0.040394,             0.01502,            0.007261,            0.007261,            0.007261
                  85,            0.033051,            0.037663,           0.0052036,             0.37803,             0.38996,              0.3588,             0.20325,            0.040123,            0.040266,            0.014108,            0.007228,            0.007228,            0.007228
                  86,            0.032925,            0.038137,           0.0048646,             0.61943,              0.3285,             0.34135,             0.19138,            0.039822,            0.041413,            0.012071,            0.007195,            0.007195,            0.007195
                  87,            0.032866,            0.038178,            0.004624,             0.53636,             0.30878,             0.34761,             0.19677,            0.040538,            0.041874,            0.010511,            0.007162,            0.007162,            0.007162
                  88,             0.03224,            0.038708,           0.0047931,             0.55591,             0.34731,             0.36224,              0.2044,            0.040614,            0.041391,            0.011617,            0.007129,            0.007129,            0.007129
                  89,            0.032141,            0.037884,           0.0046418,             0.50796,             0.31235,             0.34907,             0.20626,            0.040142,             0.04311,            0.011448,            0.007096,            0.007096,            0.007096
                  90,            0.032339,            0.038619,           0.0045065,             0.40338,             0.45877,             0.39233,             0.22125,            0.042289,            0.042178,            0.013327,            0.007063,            0.007063,            0.007063
                  91,            0.032684,            0.039165,            0.004758,             0.43844,             0.43359,             0.38188,             0.20235,            0.040716,            0.042941,            0.013541,             0.00703,             0.00703,             0.00703
                  92,            0.032479,            0.039014,           0.0047302,             0.44915,             0.42303,             0.35596,             0.20518,            0.040819,            0.042303,            0.013586,            0.006997,            0.006997,            0.006997
                  93,              0.0327,            0.038077,           0.0049156,             0.48429,             0.33358,              0.3457,             0.19094,             0.04066,            0.041737,            0.011463,            0.006964,            0.006964,            0.006964
                  94,            0.032112,            0.037418,           0.0043897,             0.36262,              0.3675,             0.34186,             0.19373,            0.041217,            0.041763,            0.010941,            0.006931,            0.006931,            0.006931
                  95,            0.031802,            0.037036,           0.0046638,             0.63235,             0.32232,             0.33389,             0.18838,            0.041221,            0.042362,            0.013036,            0.006898,            0.006898,            0.006898
                  96,            0.031594,            0.037293,            0.004445,             0.59478,             0.30673,             0.32518,             0.18266,            0.040903,            0.043179,            0.011806,            0.006865,            0.006865,            0.006865
                  97,            0.031853,            0.038294,           0.0044395,             0.56962,             0.30629,             0.33654,             0.19234,             0.04106,            0.042452,            0.012395,            0.006832,            0.006832,            0.006832
                  98,             0.03162,            0.038083,           0.0043803,              0.5119,             0.32591,             0.33151,               0.189,            0.041274,              0.0416,            0.011215,            0.006799,            0.006799,            0.006799
                  99,            0.032415,            0.037522,           0.0045933,             0.38216,             0.33435,             0.32677,             0.18683,            0.040817,            0.044168,            0.010832,            0.006766,            0.006766,            0.006766
                 100,            0.031506,            0.037554,           0.0044911,             0.62109,             0.39744,             0.44577,             0.26217,            0.041328,            0.043635,            0.010303,            0.006733,            0.006733,            0.006733
                 101,            0.031321,            0.037138,           0.0041721,              0.6021,             0.39579,             0.39175,             0.22967,            0.041652,            0.043463,            0.012435,              0.0067,              0.0067,              0.0067
                 102,            0.031622,            0.036585,           0.0042226,             0.42038,             0.49079,             0.43519,             0.26111,            0.041814,            0.043331,            0.011301,            0.006667,            0.006667,            0.006667
                 103,             0.03196,            0.037052,           0.0043114,             0.59112,             0.32472,             0.35204,             0.19788,             0.04076,            0.043376,            0.012301,            0.006634,            0.006634,            0.006634
